text,label
"URGENT SECURITY NOTICE!",spam
"I’ll message later.",ham
"FREE ENTRY TODAY!",spam
"Bring water.",ham
"WIN CASH NOW!",spam
"Meeting later.",ham
"CLAIM YOUR FREE BONUS!",spam
"See you soon friend.",ham
"IMMEDIATE LOGIN ALERT!",spam
"Please confirm time.",ham
"LIMITED BONUS AVAILABLE!",spam
"Homework question.",ham
"FREE REWARD WAITING!",spam
"Thanks team.",ham
"VERIFY YOUR ACCOUNT NOW!",spam
"Practice at 5.",ham
"FINAL CASH OFFER!",spam
"See you tomorrow.",ham
"FREE VACATION OFFER!",spam
"Call tonight.",ham
"YOU'VE BEEN SELECTED!",spam
"Lunch confirmed.",ham
"URGENT RESPONSE REQUIRED!",spam
"Thanks buddy.",ham
"LIMITED CASH BONUS!",spam
"Meeting tomorrow.",ham
"FREE GIFT CARD!",spam
"Please update me.",ham
"VERIFY IDENTITY IMMEDIATELY!",spam
"See you in a bit.",ham
"WIN BIG MONEY!",spam
"Homework complete.",ham
"FINAL BONUS NOTICE!",spam
"Bring notebook.",ham
"FREE INSTANT REWARD!",spam
"Talk later tonight.",ham
"EXCLUSIVE MEMBER OFFER!",spam
"Are you there?",ham
"URGENT LOGIN ALERT!",spam
"I’ll respond soon.",ham
"CLAIM YOUR SPECIAL PRIZE!",spam
"Practice ended.",ham
"FREE CASH OFFER!",spam
"Thanks coach.",ham
"LIMITED TIME ACCESS!",spam
"See you Monday.",ham
"IMMEDIATE BONUS ALERT!",spam
"Please review it.",ham
"YOU ARE OUR WINNER!",spam
"Call after dinner.",ham
"FINAL SECURITY NOTICE!",spam
"Homework ready.",ham
"FREE BONUS PAYMENT!",spam
"See you soon!",ham
"CLAIM YOUR REWARD TODAY!",spam
"Meeting done.",ham
"URGENT VERIFICATION REQUIRED!",spam
"Thanks friend.",ham
"LIMITED VIP OFFER!",spam
"Bring textbook.",ham
"FREE MONEY OFFER!",spam
"Chat soon.",ham
"YOU HAVE WON!",spam
"See you in class tomorrow.",ham
"FINAL OFFER ENDS NOW!",spam
"Can you send the file?",ham
"FREE ACCESS TODAY!",spam
"Thanks for helping.",ham
"VERIFY NOW!",spam
"Meeting at 3pm.",ham
"WIN A FREE PHONE!",spam
"Lunch at 12?",ham
"LIMITED TIME BONUS!",spam
"Talk later friend.",ham
"CLAIM YOUR CASH!",spam
"Practice moved.",ham
"URGENT: ACCOUNT LOCKED!",spam
"See you at lunch.",ham
"FREE SIGN UP BONUS!",spam
"Thanks again friend.",ham
"FINAL WINNER NOTICE!",spam
"Homework almost done.",ham
"EXCLUSIVE REWARD OFFER!",spam
"Bring charger.",ham
"IMMEDIATE CLAIM REQUIRED!",spam
"Please confirm location.",ham
"FREE CASH REWARD!",spam
"Meeting canceled.",ham
"YOU QUALIFY TODAY!",spam
"Talk tomorrow evening.",ham
"LIMITED ENTRY AVAILABLE!",spam
"See you at practice tomorrow.",ham
"CLAIM YOUR BONUS TODAY!",spam
"Thanks again everyone.",ham
"URGENT: VERIFY ACCOUNT!",spam
"Call me later please.",ham
"FREE SPECIAL OFFER!",spam
"Homework submitted today.",ham
"FINAL PRIZE ALERT!",spam
"See you after school.",ham
"WIN BIG TODAY!",spam
"Please respond soon.",ham
"FREE VIP ACCESS!",spam
"Meeting reminder for tomorrow.",ham
"CLAIM YOUR REWARD BEFORE MIDNIGHT!",spam
"Thanks all.",ham
"LIMITED TIME OFFER!",spam
"See you next time.",ham
"VERIFY YOUR DETAILS NOW!",spam
"Bring materials.",ham
"FREE BONUS INSIDE!",spam
"Talk soon everyone.",ham
"YOU ARE SELECTED!",spam
"Please confirm attendance.",ham
"FINAL ACCOUNT ALERT!",spam
"See you soon everyone.",ham
"FREE CASH BONUS!",spam
"Meeting update shared.",ham
"CLAIM YOUR PRIZE NOW!",spam
"Thanks for the update.",ham
"URGENT SECURITY WARNING!",spam
"Lunch next week?",ham
"LIMITED TIME DEAL - CALL NOW!",spam
"See you tomorrow afternoon.",ham
"FREE TRIAL TODAY!",spam
"Homework finished.",ham
"WIN CASH FAST!",spam
"Please review document.",ham
"EXCLUSIVE OFFER!",spam
"See you later tonight.",ham
"VERIFY IMMEDIATELY!",spam
"Bring folder.",ham
"FREE BONUS NOW!",spam
"Meeting later today.",ham
"FINAL CASH ALERT!",spam
"Talk soon friend.",ham
